dataset,fold,candidate,scope,kappa,epoch,anchor_BA,candidate_BA,task_BA,anchor_delta_pp,task_control_delta_pp
WBCIC,0,P5_LATE_CAP10,LATE,0.1,1,0.8005555555555556,0.8072222222222223,0.8072222222222223,0.666666666666671,0.0
WBCIC,1,P5_LATE_CAP10,LATE,0.1,1,0.77125,0.7818750000000001,0.7818750000000001,1.0625000000000107,0.0
WBCIC,2,P5_LATE_CAP10,LATE,0.1,1,0.786875,0.785625,0.785,-0.12499999999999734,0.06249999999999867
WBCIC,3,P5_LATE_CAP10,LATE,0.1,1,0.7854048295454545,0.7841548295454546,0.7841548295454546,-0.12499999999999734,0.0
WBCIC,4,P5_LATE_CAP10,LATE,0.1,1,0.785625,0.7875,0.7875,0.187499999999996,0.0
OpenBMI,0,P5_LATE_CAP10,LATE,0.1,2,0.7854545454545455,0.7854545454545455,0.7854545454545455,0.0,0.0
OpenBMI,1,P5_LATE_CAP10,LATE,0.1,2,0.8318181818181819,0.8327272727272728,0.8327272727272728,0.09090909090908594,0.0
OpenBMI,2,P5_LATE_CAP10,LATE,0.1,2,0.8145454545454545,0.82,0.82,0.545454545454549,0.0
OpenBMI,3,P5_LATE_CAP10,LATE,0.1,2,0.8245454545454544,0.82,0.82,-0.4545454545454408,0.0
OpenBMI,4,P5_LATE_CAP10,LATE,0.1,2,0.841,0.842,0.842,0.10000000000000009,0.0
WBCIC,0,P5_LATE_CAP10,LATE,0.1,2,0.8005555555555556,0.8094444444444444,0.8094444444444444,0.8888888888888835,0.0
WBCIC,1,P5_LATE_CAP10,LATE,0.1,2,0.77125,0.78125,0.78125,1.0000000000000009,0.0
WBCIC,2,P5_LATE_CAP10,LATE,0.1,2,0.786875,0.786875,0.786875,0.0,0.0
WBCIC,3,P5_LATE_CAP10,LATE,0.1,2,0.7854048295454545,0.7835037878787878,0.7835037878787878,-0.1901041666666714,0.0
WBCIC,4,P5_LATE_CAP10,LATE,0.1,2,0.785625,0.786875,0.786875,0.12499999999999734,0.0
OpenBMI,0,P5_LATE_CAP10,LATE,0.1,3,0.7854545454545455,0.7863636363636363,0.7863636363636363,0.09090909090907484,0.0
OpenBMI,1,P5_LATE_CAP10,LATE,0.1,3,0.8318181818181819,0.8354545454545454,0.8354545454545454,0.3636363636363549,0.0
OpenBMI,2,P5_LATE_CAP10,LATE,0.1,3,0.8145454545454545,0.8081818181818182,0.8081818181818182,-0.6363636363636238,0.0
OpenBMI,3,P5_LATE_CAP10,LATE,0.1,3,0.8245454545454544,0.8254545454545454,0.8254545454545454,0.09090909090910815,0.0
OpenBMI,4,P5_LATE_CAP10,LATE,0.1,3,0.841,0.8320000000000001,0.8320000000000001,-0.8999999999999897,0.0
WBCIC,0,P5_LATE_CAP10,LATE,0.1,3,0.8005555555555556,0.8066666666666668,0.8066666666666668,0.6111111111111178,0.0
WBCIC,1,P5_LATE_CAP10,LATE,0.1,3,0.77125,0.78,0.780625,0.8750000000000036,-0.06249999999999867
WBCIC,2,P5_LATE_CAP10,LATE,0.1,3,0.786875,0.7875,0.7875,0.06249999999999867,0.0
WBCIC,3,P5_LATE_CAP10,LATE,0.1,3,0.7854048295454545,0.7841027462121212,0.7841027462121212,-0.13020833333333703,0.0
WBCIC,4,P5_LATE_CAP10,LATE,0.1,3,0.785625,0.79,0.79,0.4375000000000018,0.0
OpenBMI,0,P5_LATE_CAP10,LATE,0.1,4,0.7854545454545455,0.7836363636363637,0.7836363636363637,-0.181818181818183,0.0
OpenBMI,1,P5_LATE_CAP10,LATE,0.1,4,0.8318181818181819,0.8354545454545454,0.8354545454545454,0.3636363636363549,0.0
OpenBMI,2,P5_LATE_CAP10,LATE,0.1,4,0.8145454545454545,0.8172727272727273,0.8172727272727273,0.27272727272728003,0.0
OpenBMI,3,P5_LATE_CAP10,LATE,0.1,4,0.8245454545454544,0.8227272727272726,0.8227272727272726,-0.1818181818181719,0.0
OpenBMI,4,P5_LATE_CAP10,LATE,0.1,4,0.841,0.8220000000000001,0.8220000000000001,-1.8999999999999906,0.0
WBCIC,0,P5_LATE_CAP10,LATE,0.1,4,0.8005555555555556,0.8061111111111112,0.8066666666666668,0.5555555555555647,-0.05555555555555314
WBCIC,1,P5_LATE_CAP10,LATE,0.1,4,0.77125,0.784375,0.785,1.3125000000000053,-0.06249999999999867
WBCIC,2,P5_LATE_CAP10,LATE,0.1,4,0.786875,0.79125,0.79125,0.4375000000000018,0.0
WBCIC,3,P5_LATE_CAP10,LATE,0.1,4,0.7854048295454545,0.7809714330808081,0.7803464330808081,-0.44333964646464663,0.06249999999999867
WBCIC,4,P5_LATE_CAP10,LATE,0.1,4,0.785625,0.7906249999999999,0.7906249999999999,0.49999999999998934,0.0
OpenBMI,0,P5_LATE_CAP10,LATE,0.1,5,0.7854545454545455,0.7854545454545453,0.7854545454545453,-2.220446049250313e-14,0.0
OpenBMI,1,P5_LATE_CAP10,LATE,0.1,5,0.8318181818181819,0.8327272727272728,0.8318181818181819,0.09090909090908594,0.09090909090908594
OpenBMI,2,P5_LATE_CAP10,LATE,0.1,5,0.8145454545454545,0.8118181818181818,0.8127272727272729,-0.27272727272726893,-0.09090909090910815
OpenBMI,3,P5_LATE_CAP10,LATE,0.1,5,0.8245454545454544,0.8209090909090908,0.82,-0.3636363636363549,0.09090909090908594
OpenBMI,4,P5_LATE_CAP10,LATE,0.1,5,0.841,0.833,0.833,-0.8000000000000007,0.0
WBCIC,0,P5_LATE_CAP10,LATE,0.1,5,0.8005555555555556,0.8094444444444444,0.8094444444444444,0.8888888888888835,0.0
WBCIC,1,P5_LATE_CAP10,LATE,0.1,5,0.77125,0.7775,0.77875,0.6249999999999978,-0.12500000000000844
WBCIC,2,P5_LATE_CAP10,LATE,0.1,5,0.786875,0.791875,0.791875,0.5000000000000004,0.0
WBCIC,3,P5_LATE_CAP10,LATE,0.1,5,0.7854048295454545,0.7803787878787879,0.7797537878787879,-0.5026041666666647,0.06249999999999867
WBCIC,4,P5_LATE_CAP10,LATE,0.1,5,0.785625,0.7925,0.7925,0.6874999999999964,0.0
OpenBMI,0,P6_LATE_CAP20,LATE,0.2,1,0.7854545454545455,0.7863636363636364,0.7872727272727272,0.09090909090908594,-0.09090909090908594
OpenBMI,1,P6_LATE_CAP20,LATE,0.2,1,0.8318181818181819,0.8354545454545454,0.8354545454545454,0.3636363636363549,0.0
OpenBMI,2,P6_LATE_CAP20,LATE,0.2,1,0.8145454545454545,0.8118181818181818,0.8109090909090909,-0.27272727272726893,0.09090909090908594
OpenBMI,3,P6_LATE_CAP20,LATE,0.2,1,0.8245454545454544,0.8254545454545454,0.8254545454545454,0.09090909090910815,0.0
OpenBMI,4,P6_LATE_CAP20,LATE,0.2,1,0.841,0.8350000000000002,0.8350000000000002,-0.5999999999999783,0.0
WBCIC,0,P6_LATE_CAP20,LATE,0.2,1,0.8005555555555556,0.8072222222222223,0.8072222222222223,0.666666666666671,0.0
WBCIC,1,P6_LATE_CAP20,LATE,0.2,1,0.77125,0.7825,0.7818750000000001,1.1249999999999982,0.062499999999987566
WBCIC,2,P6_LATE_CAP20,LATE,0.2,1,0.786875,0.785625,0.785,-0.12499999999999734,0.06249999999999867
WBCIC,3,P6_LATE_CAP20,LATE,0.2,1,0.7854048295454545,0.7841548295454546,0.7841548295454546,-0.12499999999999734,0.0
WBCIC,4,P6_LATE_CAP20,LATE,0.2,1,0.785625,0.7875,0.7875,0.187499999999996,0.0
OpenBMI,0,P6_LATE_CAP20,LATE,0.2,2,0.7854545454545455,0.7854545454545455,0.7854545454545455,0.0,0.0
OpenBMI,1,P6_LATE_CAP20,LATE,0.2,2,0.8318181818181819,0.8327272727272728,0.8327272727272728,0.09090909090908594,0.0
OpenBMI,2,P6_LATE_CAP20,LATE,0.2,2,0.8145454545454545,0.82,0.82,0.545454545454549,0.0
OpenBMI,3,P6_LATE_CAP20,LATE,0.2,2,0.8245454545454544,0.82,0.82,-0.4545454545454408,0.0
OpenBMI,4,P6_LATE_CAP20,LATE,0.2,2,0.841,0.842,0.842,0.10000000000000009,0.0
WBCIC,0,P6_LATE_CAP20,LATE,0.2,2,0.8005555555555556,0.8094444444444444,0.8094444444444444,0.8888888888888835,0.0
WBCIC,1,P6_LATE_CAP20,LATE,0.2,2,0.77125,0.78125,0.78125,1.0000000000000009,0.0
WBCIC,2,P6_LATE_CAP20,LATE,0.2,2,0.786875,0.7875000000000001,0.786875,0.06250000000000977,0.06250000000000977
WBCIC,3,P6_LATE_CAP20,LATE,0.2,2,0.7854048295454545,0.7835037878787878,0.7835037878787878,-0.1901041666666714,0.0
WBCIC,4,P6_LATE_CAP20,LATE,0.2,2,0.785625,0.7875,0.786875,0.187499999999996,0.06249999999999867
OpenBMI,0,P6_LATE_CAP20,LATE,0.2,3,0.7854545454545455,0.7854545454545453,0.7863636363636363,-2.220446049250313e-14,-0.09090909090909705
OpenBMI,1,P6_LATE_CAP20,LATE,0.2,3,0.8318181818181819,0.8363636363636363,0.8354545454545454,0.4545454545454408,0.09090909090908594
OpenBMI,2,P6_LATE_CAP20,LATE,0.2,3,0.8145454545454545,0.8081818181818182,0.8081818181818182,-0.6363636363636238,0.0
OpenBMI,3,P6_LATE_CAP20,LATE,0.2,3,0.8245454545454544,0.8254545454545454,0.8254545454545454,0.09090909090910815,0.0
OpenBMI,4,P6_LATE_CAP20,LATE,0.2,3,0.841,0.8320000000000001,0.8320000000000001,-0.8999999999999897,0.0
WBCIC,0,P6_LATE_CAP20,LATE,0.2,3,0.8005555555555556,0.8066666666666668,0.8066666666666668,0.6111111111111178,0.0
WBCIC,1,P6_LATE_CAP20,LATE,0.2,3,0.77125,0.78,0.780625,0.8750000000000036,-0.06249999999999867
WBCIC,2,P6_LATE_CAP20,LATE,0.2,3,0.786875,0.7875,0.7875,0.06249999999999867,0.0
WBCIC,3,P6_LATE_CAP20,LATE,0.2,3,0.7854048295454545,0.7841027462121212,0.7841027462121212,-0.13020833333333703,0.0
WBCIC,4,P6_LATE_CAP20,LATE,0.2,3,0.785625,0.790625,0.79,0.5000000000000004,0.06249999999999867
OpenBMI,0,P6_LATE_CAP20,LATE,0.2,4,0.7854545454545455,0.7836363636363637,0.7836363636363637,-0.181818181818183,0.0
OpenBMI,1,P6_LATE_CAP20,LATE,0.2,4,0.8318181818181819,0.8363636363636363,0.8354545454545454,0.4545454545454408,0.09090909090908594
OpenBMI,2,P6_LATE_CAP20,LATE,0.2,4,0.8145454545454545,0.8172727272727273,0.8172727272727273,0.27272727272728003,0.0
OpenBMI,3,P6_LATE_CAP20,LATE,0.2,4,0.8245454545454544,0.8227272727272726,0.8227272727272726,-0.1818181818181719,0.0
OpenBMI,4,P6_LATE_CAP20,LATE,0.2,4,0.841,0.8230000000000001,0.8220000000000001,-1.7999999999999905,0.10000000000000009
WBCIC,0,P6_LATE_CAP20,LATE,0.2,4,0.8005555555555556,0.8061111111111112,0.8066666666666668,0.5555555555555647,-0.05555555555555314
WBCIC,1,P6_LATE_CAP20,LATE,0.2,4,0.77125,0.784375,0.785,1.3125000000000053,-0.06249999999999867
WBCIC,2,P6_LATE_CAP20,LATE,0.2,4,0.786875,0.79125,0.79125,0.4375000000000018,0.0
WBCIC,3,P6_LATE_CAP20,LATE,0.2,4,0.7854048295454545,0.7815964330808081,0.7803464330808081,-0.38083964646464796,0.12499999999999734
WBCIC,4,P6_LATE_CAP20,LATE,0.2,4,0.785625,0.7906249999999999,0.7906249999999999,0.49999999999998934,0.0
OpenBMI,0,P6_LATE_CAP20,LATE,0.2,5,0.7854545454545455,0.7854545454545453,0.7854545454545453,-2.220446049250313e-14,0.0
OpenBMI,1,P6_LATE_CAP20,LATE,0.2,5,0.8318181818181819,0.8327272727272728,0.8318181818181819,0.09090909090908594,0.09090909090908594
OpenBMI,2,P6_LATE_CAP20,LATE,0.2,5,0.8145454545454545,0.8118181818181818,0.8127272727272729,-0.27272727272726893,-0.09090909090910815
OpenBMI,3,P6_LATE_CAP20,LATE,0.2,5,0.8245454545454544,0.8218181818181818,0.82,-0.27272727272725783,0.181818181818183
OpenBMI,4,P6_LATE_CAP20,LATE,0.2,5,0.841,0.833,0.833,-0.8000000000000007,0.0
WBCIC,0,P6_LATE_CAP20,LATE,0.2,5,0.8005555555555556,0.8094444444444444,0.8094444444444444,0.8888888888888835,0.0
WBCIC,1,P6_LATE_CAP20,LATE,0.2,5,0.77125,0.7775,0.77875,0.6249999999999978,-0.12500000000000844
WBCIC,2,P6_LATE_CAP20,LATE,0.2,5,0.786875,0.791875,0.791875,0.5000000000000004,0.0
WBCIC,3,P6_LATE_CAP20,LATE,0.2,5,0.7854048295454545,0.7797537878787879,0.7797537878787879,-0.5651041666666634,0.0
WBCIC,4,P6_LATE_CAP20,LATE,0.2,5,0.785625,0.791875,0.7925,0.6249999999999978,-0.06249999999999867
