subject_id,fold,method,action_alpha,BA_NoAdapt,BA_Strong_Generic,BA_Guard,rescued,new_harm,internal_holdout_used
34,2,generic-diagnostic guard,1.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,False,False,False
44,2,generic-diagnostic guard,1.0,0.75,0.76,0.76,False,False,False
52,2,generic-diagnostic guard,1.0,0.79,0.76,0.76,False,False,False
9,3,generic-diagnostic guard,1.0,0.6100000000000001,0.62,0.62,False,False,False
15,3,generic-diagnostic guard,1.0,0.85,0.86,0.86,False,False,False
20,3,generic-diagnostic guard,1.0,0.85,0.85,0.85,False,False,False
21,3,generic-diagnostic guard,1.0,0.86,0.86,0.86,False,False,False
27,3,generic-diagnostic guard,1.0,0.8999999999999999,0.9099999999999999,0.9099999999999999,False,False,False
28,3,generic-diagnostic guard,1.0,0.85,0.87,0.87,False,False,False
38,3,generic-diagnostic guard,1.0,0.72,0.73,0.73,False,False,False
41,3,generic-diagnostic guard,1.0,0.73,0.74,0.74,False,False,False
46,3,generic-diagnostic guard,1.0,0.66,0.64,0.64,False,False,False
3,4,generic-diagnostic guard,1.0,0.83,0.84,0.84,False,False,False
8,4,generic-diagnostic guard,1.0,0.73,0.77,0.77,False,False,False
11,4,generic-diagnostic guard,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,generic-diagnostic guard,1.0,0.63,0.64,0.64,False,False,False
30,4,generic-diagnostic guard,1.0,0.7,0.71,0.71,False,False,False
31,4,generic-diagnostic guard,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,generic-diagnostic guard,1.0,0.87,0.86,0.86,False,False,False
2,0,random guard,0.75,0.79,0.79,0.77,False,True,False
14,0,random guard,0.75,0.7,0.69,0.69,False,False,False
19,0,random guard,0.75,0.64,0.7,0.6799999999999999,False,False,False
32,0,random guard,0.75,0.63,0.65,0.66,False,False,False
33,0,random guard,0.75,0.8,0.79,0.8200000000000001,True,False,False
40,0,random guard,0.75,0.81,0.81,0.8200000000000001,False,False,False
47,0,random guard,1.0,0.8899999999999999,0.88,0.88,False,False,False
50,0,random guard,0.75,0.5700000000000001,0.61,0.61,False,False,False
53,0,random guard,0.75,0.76,0.75,0.76,True,False,False
1,1,random guard,1.0,0.66,0.69,0.69,False,False,False
5,1,random guard,1.0,0.79,0.81,0.81,False,False,False
6,1,random guard,0.75,0.94,0.96,0.95,False,False,False
10,1,random guard,1.0,0.71,0.73,0.73,False,False,False
16,1,random guard,1.0,0.8300000000000001,0.85,0.85,False,False,False
35,1,random guard,0.75,0.79,0.8,0.8,False,False,False
43,1,random guard,1.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,False,False,False
45,1,random guard,1.0,0.76,0.81,0.81,False,False,False
48,1,random guard,1.0,0.74,0.7,0.7,False,False,False
7,2,random guard,1.0,0.73,0.76,0.76,False,False,False
22,2,random guard,1.0,0.7,0.7,0.7,False,False,False
26,2,random guard,1.0,0.87,0.88,0.88,False,False,False
34,2,random guard,1.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,False,False,False
44,2,random guard,1.0,0.75,0.76,0.76,False,False,False
52,2,random guard,1.0,0.79,0.76,0.76,False,False,False
9,3,random guard,1.0,0.6100000000000001,0.62,0.62,False,False,False
15,3,random guard,1.0,0.85,0.86,0.86,False,False,False
20,3,random guard,1.0,0.85,0.85,0.85,False,False,False
21,3,random guard,1.0,0.86,0.86,0.86,False,False,False
27,3,random guard,0.0,0.8999999999999999,0.9099999999999999,0.8999999999999999,False,False,False
28,3,random guard,0.0,0.85,0.87,0.85,False,False,False
38,3,random guard,0.0,0.72,0.73,0.72,False,False,False
41,3,random guard,1.0,0.73,0.74,0.74,False,False,False
46,3,random guard,1.0,0.66,0.64,0.64,False,False,False
3,4,random guard,1.0,0.83,0.84,0.84,False,False,False
8,4,random guard,1.0,0.73,0.77,0.77,False,False,False
11,4,random guard,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,random guard,1.0,0.63,0.64,0.64,False,False,False
30,4,random guard,1.0,0.7,0.71,0.71,False,False,False
31,4,random guard,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,random guard,1.0,0.87,0.86,0.86,False,False,False
